"League","Name","Team","Position","GamesPlayed","TotalMinutesPlayed","FieldGoalsMade","FieldGoalsAttempted","ThreesMade","ThreesAttempted","FreeThrowsMade","FreeThrowsAttempted","OffensiveRebounds","TotalRebounds","Assists","Steals","Turnovers","Blocks","PersonalFouls","Disqualifications","TotalPoints","Technicals","Ejections","FlagrantFouls","GamesStarted"
"NBA","Arron Afflalo","DEN","SG",82,2228,272,585,108,249,72,98,59,252,138,46,74,30,225,1,724,2,0,0,75
"NBA","Alexis Ajinca","CHA","C",6,29,5,10,0,0,0,1,1,4,0,1,2,1,5,0,10,0,0,0,0
"NBA","Lamarcu Aldridge","POR","PF",78,2919,579,1169,5,16,230,304,192,627,160,67,104,48,231,2,1393,1,0,0,78
"NBA","Joe Alexander","CHI","SG",8,30,1,6,0,1,2,3,2,5,2,1,0,1,9,0,4,0,0,0,0
"NBA","Malik Allen","DEN","PF",51,458,46,116,1,6,12,13,36,82,16,11,22,5,68,0,105,0,0,0,3
"NBA","Ray Allen","BOS","SG",80,2812,464,973,145,399,231,253,45,253,211,64,129,25,182,1,1304,0,0,0,80
"NBA","Tony Allen","BOS","SG",54,889,129,253,0,5,72,119,52,145,72,59,66,19,109,1,330,0,0,0,8
"NBA","Rafer Alston","ORL","PG",52,1424,155,446,58,168,59,81,13,129,176,50,95,10,103,0,427,1,0,0,38
"NBA","Louis Amundson","PHO","PF",79,1165,152,276,0,1,67,123,128,346,31,24,57,73,169,1,371,2,0,0,0
"NBA","Chris Andersen","DEN","C",76,1693,142,251,0,3,164,236,147,483,33,42,59,144,171,1,448,1,0,0,0
"NBA","David Andersen","HOU","PF",63,892,147,340,27,78,46,67,54,208,44,15,37,12,119,0,367,1,0,0,0
"NBA","Antonio Anderson","OKL",NA,1,15,1,3,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0
"NBA","Ryan Anderson","ORL","PF",63,918,169,388,78,211,71,82,70,202,37,25,56,14,81,0,487,0,0,0,6
"NBA","Carmelo Anthony","DEN","SF",69,2636,688,1502,59,187,508,612,152,454,222,88,209,30,225,2,1943,12,0,0,69
"NBA","Joel Anthony","MIA","C",80,1318,76,159,0,0,66,92,123,249,12,20,45,109,158,1,218,0,0,0,16
"NBA","Gilbert Arenas","WAS","PG",32,1167,253,616,63,181,153,207,17,133,230,41,117,9,95,2,722,3,0,0,32
"NBA","Trevor Ariza","HOU","SF",72,2631,394,999,136,407,148,228,78,403,276,127,161,40,162,0,1072,2,0,0,71
"NBA","Hilton Armstrong","SAC","C",33,336,28,79,0,1,15,32,27,81,21,15,22,12,59,1,71,0,0,0,0
"NBA","Carlos Arroyo","MIA","PG",72,1582,178,375,7,25,76,90,26,130,225,36,54,6,102,0,439,0,0,0,34
"NBA","Ron Artest","LAL","SF",77,2606,306,740,105,296,128,186,99,331,234,107,121,21,165,1,845,6,0,0,77
"NBA","Darrell Arthur","MEM","PF",32,455,63,146,0,1,17,30,37,110,15,14,22,14,60,0,143,1,0,0,1
"NBA","Chucky Atkins","DET","PG",40,642,57,157,22,73,25,27,5,29,91,17,32,0,53,1,161,0,0,0,11
"NBA","D.j. Augustin","CHA","PG",80,1472,168,435,70,178,102,131,11,97,193,45,74,5,127,0,508,0,0,0,2
"NBA","Kelenna Azubuike","GSW","SF",9,231,48,88,10,27,19,28,12,41,10,5,7,9,16,0,125,1,0,0,7
"NBA","Renaldo Balkman","DEN","PF",13,91,6,18,0,7,2,6,4,23,7,8,6,2,16,0,14,0,0,0,1
"NBA","Marcus Banks","TOR","PG",22,244,39,73,7,24,24,29,3,23,26,12,20,2,30,0,109,1,0,0,0
"NBA","Leandro Barbosa","PHO","SG",44,783,155,365,44,136,64,73,11,69,64,23,46,12,71,0,418,0,0,0,5
"NBA","Juan_jose Barea","DAL","PG",78,1545,232,527,56,157,76,90,17,146,258,35,102,6,119,1,596,2,0,0,18
"NBA","Andrea Bargnani","TOR","C",80,2798,537,1143,121,325,181,234,105,493,93,25,120,111,215,3,1376,3,0,0,80
"NBA","Matt Barnes","ORL","SF",81,2090,271,557,66,207,108,146,106,444,134,59,112,30,185,1,716,9,0,0,58
"NBA","Earl Barron","NYK","C",7,232,30,68,0,0,22,29,31,77,8,4,11,4,24,0,82,0,0,0,6
"NBA","Brandon Bass","ORL","PF",50,646,119,233,0,0,52,63,54,128,19,12,31,27,69,0,290,1,0,0,3
"NBA","Tony Battie","NJN","C",15,133,14,39,1,4,7,10,4,23,3,4,3,2,19,0,36,0,0,0,0
"NBA","Shane Battier","HOU","SF",67,2169,178,447,101,279,77,106,74,312,164,52,64,76,139,0,534,1,0,0,62
"NBA","Nicolas Batum","POR","SF",37,919,139,268,54,132,43,51,32,141,44,24,27,25,83,1,375,0,0,0,25
"NBA","Jerryd Bayless","POR","PG",74,1304,200,483,29,92,201,242,18,120,172,26,94,5,152,1,630,2,0,0,11
"NBA","Michael Beasley","MIA","PF",78,2327,468,1040,28,102,192,240,124,499,100,80,131,49,221,2,1156,3,0,0,78
"NBA","Rodrigu Beaubois","DAL","PG",56,702,155,299,45,110,42,52,12,78,74,29,54,12,84,1,397,0,0,0,16
"NBA","Marco Belinelli","TOR","SG",66,1120,154,379,60,158,101,121,14,95,89,42,60,5,80,1,469,0,0,0,1
"NBA","Charlie Bell","MIL","SG",71,1617,169,443,73,200,48,67,31,132,104,39,54,12,136,0,459,0,0,0,39
"NBA","Raja Bell","GSW","SG",6,181,28,61,12,27,3,3,5,23,13,4,5,2,15,0,71,1,0,0,5
"NBA","Jonathan Bender","NYK","SF",25,292,40,100,14,39,24,26,15,52,16,2,28,17,33,0,118,0,0,0,1
"NBA","Mike Bibby","ATL","PG",80,2196,268,644,126,324,68,79,20,184,310,67,90,3,157,0,730,3,0,0,80
"NBA","Andris Biedrins","GSW","C",33,764,81,137,0,0,4,25,63,259,58,20,32,44,117,3,166,0,0,0,29
"NBA","Chauncey Billups","DEN","PG",73,2489,402,962,157,407,466,512,25,228,409,82,177,9,153,1,1427,8,0,0,73
"NBA","Dejuan Blair","SAN","PF",82,1496,275,495,0,2,88,161,200,527,65,50,112,39,224,2,638,2,0,0,24
"NBA","Steve Blake","LAC","PG",80,2157,217,522,116,294,36,48,21,187,380,58,128,6,123,0,586,3,0,0,38
"NBA","Andray Blatche","WAS","PF",81,2250,478,999,13,44,174,234,158,509,170,85,181,71,218,0,1143,4,0,0,36
"NBA","Keith Bogans","SAN","SG",79,1560,120,298,70,196,37,50,25,176,95,45,53,12,156,1,347,1,0,0,50
"NBA","Andrew Bogut","MIL","C",69,2229,473,910,0,2,149,237,208,701,127,39,131,175,222,5,1095,4,0,0,69
"NBA","Matt Bonner","SAN","PF",65,1165,166,372,90,231,35,48,52,214,68,30,39,24,109,1,457,1,0,0,8
"NBA","Josh Boone","NJN","C",63,1045,117,223,0,0,19,58,124,315,29,30,37,48,111,0,253,0,0,0,28
"NBA","Carlos Boozer","UTA","PF",78,2671,617,1098,0,0,285,384,181,874,248,84,212,36,270,4,1519,5,0,0,78
"NBA","Chris Bosh","TOR","PF",70,2525,600,1158,8,22,470,590,205,759,166,43,169,68,170,1,1678,2,0,0,70
"NBA","Ryan Bowen","OKL","SF",1,8,1,1,0,0,2,2,1,2,0,1,0,0,2,0,4,0,0,0,0
"NBA","Earl Boykins","WAS","PG",67,1119,172,403,19,60,77,89,17,75,171,24,69,3,48,0,440,0,0,0,1
"NBA","Elton Brand","PHI","PF",76,2297,412,858,0,1,172,233,179,461,110,82,131,80,232,1,996,0,0,0,58
"NBA","Corey Brewer","MIN","SF",82,2483,409,948,82,237,166,256,69,278,193,117,165,29,224,4,1066,1,0,0,82
"NBA","Ronnie Brewer","MEM","SG",58,1740,209,429,8,31,85,133,45,187,154,91,53,14,80,0,511,0,0,0,52
"NBA","Primoz Brezec","MIL","C",21,96,9,26,0,0,1,6,12,25,1,1,2,3,19,0,19,0,0,0,0
"NBA","Jon Brockman","SAC","PF",52,657,55,103,0,0,37,62,105,213,23,14,23,4,115,0,147,0,0,0,4
"NBA","Aaron Brooks","HOU","PG",82,2918,575,1331,209,525,245,298,54,215,434,69,232,14,199,1,1604,9,0,0,82
"NBA","Bobby Brown","LAC","PG",45,520,88,237,26,98,13,15,9,38,88,15,46,1,42,0,215,0,0,0,0
"NBA","Derrick Brown","CHA","SF",57,536,68,147,2,7,48,72,31,78,19,21,19,10,53,0,186,0,0,0,0
"NBA","Devin Brown","CHI","SG",50,1058,136,361,58,164,69,86,30,125,65,33,62,6,72,0,399,0,0,0,37
"NBA","Kwame Brown","DET","C",48,660,62,124,0,1,33,98,53,177,22,15,43,12,93,1,157,3,0,0,1
"NBA","Shannon Brown","LAL","SG",82,1702,253,592,62,189,99,121,30,183,108,57,67,31,129,0,667,2,0,0,7
"NBA","Kobe Bryant","LAL","SG",73,2834,716,1569,99,301,439,541,78,391,365,113,232,20,187,0,1970,14,0,0,73
"NBA","Chase Budinger","HOU","SF",74,1493,249,565,92,249,67,87,38,220,88,34,48,11,85,0,657,0,0,0,4
"NBA","Caron Butler","DAL","SF",74,2779,450,1051,42,145,264,315,104,461,156,116,160,24,193,0,1206,2,0,0,74
"NBA","Rasual Butler","LAC","SG",82,2703,356,870,145,432,122,145,39,240,116,36,79,68,121,0,979,1,0,0,64
"NBA","Andrew Bynum","LAL","C",65,1977,392,688,0,1,193,261,177,541,68,35,115,94,193,2,977,3,0,0,65
"NBA","Will Bynum","DET","PG",63,1664,237,534,12,55,142,178,24,142,283,55,115,7,143,0,628,2,0,0,20
"NBA","Jose Calderon","TOR","PG",68,1817,274,569,68,171,83,104,23,143,404,47,99,7,135,1,699,2,0,0,39
"NBA","Marcus Camby","POR","C",74,2312,238,501,2,7,78,122,249,870,186,94,91,146,161,0,556,3,0,0,74
"NBA","Brian Cardinal","MIN","PF",29,268,14,36,3,9,17,18,7,29,24,9,7,3,56,1,48,0,0,0,0
"NBA","Rodney Carney","PHI","SF",68,858,113,282,41,135,52,63,26,137,37,25,21,20,79,0,319,0,0,0,0
"NBA","Demarre Carroll","MEM","SF",71,793,88,222,0,6,33,53,53,150,33,28,24,9,107,1,209,1,0,0,1
"NBA","Matt Carroll","DAL","SG",25,121,18,50,4,19,6,6,4,12,6,5,7,0,13,0,46,0,0,0,0
"NBA","Anthony Carter","DEN","PG",54,859,76,181,17,63,11,13,17,89,160,39,58,13,72,0,180,1,0,0,7
"NBA","Vince Carter","ORL","SG",75,2310,434,1015,119,324,257,306,33,293,236,53,106,18,189,0,1244,3,0,0,74
"NBA","Omri Casspi","SAC","SF",77,1932,300,672,75,203,117,174,75,349,97,54,98,18,125,0,792,3,0,0,31
"NBA","Mario Chalmers","MIA","PG",73,1806,182,454,75,236,82,110,25,135,246,91,123,12,175,1,521,0,0,0,22
"NBA","Tyson Chandler","CHA","C",51,1164,109,190,0,0,115,157,114,320,16,17,91,57,138,1,333,3,0,0,27
"NBA","Wilson Chandler","NYK","SF",65,2320,412,860,40,150,129,160,93,348,138,46,108,49,184,3,993,0,0,0,64
"NBA","Earl Clark","PHO","C",51,385,56,151,2,5,26,36,18,62,21,7,23,13,25,0,140,0,0,0,0
"NBA","Jarron Collins","PHO","C",34,263,12,31,0,0,10,25,22,62,6,2,10,3,42,0,34,0,0,0,10
"NBA","Jason Collins","ATL","C",24,113,8,23,0,1,0,2,5,14,4,3,5,2,21,0,16,0,0,0,0
"NBA","Mardy Collins","LAC","PG",43,469,47,128,4,17,13,21,13,50,44,23,32,1,45,0,111,0,0,0,0
"NBA","Darren Collison","NOR","PG",76,2105,376,789,46,115,148,174,41,192,432,78,202,4,92,0,946,1,0,0,37
"NBA","Nick Collison","OKL","PF",75,1560,182,309,1,4,74,107,152,384,38,37,63,48,230,4,439,1,0,0,5
"NBA","Mike Conley","MEM","PG",80,2565,369,830,82,212,139,187,30,191,425,109,170,12,178,4,959,0,0,0,80
"NBA","Will Conroy","HOU","PG",5,36,3,10,0,3,0,2,0,3,7,0,4,0,5,0,6,0,0,0,0
