Bus,Lat,Lon
53A,41.68420246,-87.71716654
53A,41.83693977,-87.72471964
53A,41.83294291,-87.72412527
53A,41.82507235,-87.72387743
53A,41.79926342,-87.7231425
53A,41.74784249,-87.72181213
53A,41.73018593,-87.72154391
53A,41.83677351,-87.72566807
53A,41.71129912,-87.72096455
53A,41.70936488,-87.72090554
53A,41.70746663,-87.72084653
53A,41.70567245,-87.72078753
53A,41.70393428,-87.72071779
53A,41.70211597,-87.72063196
53A,41.70024554,-87.72056758
53A,41.69847519,-87.72050858
53A,41.69662468,-87.72043884
53A,41.69472605,-87.72034228
53A,41.69298359,-87.72026181
53A,41.69116096,-87.72017062
53A,41.6841664,-87.7199024
53A,41.83493737,-87.72417784
53A,41.83102832,-87.72409201
53A,41.82858204,-87.724033
53A,41.81830026,-87.72380233
53A,41.81678504,-87.72375405
53A,41.8154297,-87.7237165
53A,41.81366653,-87.72365749
53A,41.81178335,-87.72358239
53A,41.8099401,-87.72352338
53A,41.80776492,-87.72343218
53A,41.80588157,-87.72335708
53A,41.80403016,-87.72331953
53A,41.79685512,-87.72311461
53A,41.79489226,-87.72307277
53A,41.79292455,-87.72299767
53A,41.79122074,-87.72294939
53A,41.78936891,-87.72290111
53A,41.78761301,-87.72289574
53A,41.78582507,-87.72283673
53A,41.78396907,-87.72279382
53A,41.78210902,-87.72273481
53A,41.78034893,-87.72269726
53A,41.77849678,-87.72264361
53A,41.77666857,-87.72257388
53A,41.77486432,-87.72252023
53A,41.77305202,-87.72248268
53A,41.76943126,-87.72239685
53A,41.76751077,-87.72234321
53A,41.76577829,-87.72231102
53A,41.76398973,-87.72218764
53A,41.75775942,-87.72206426
53A,41.75624677,-87.72203743
53A,41.75490216,-87.7219677
53A,41.75268509,-87.72188187
53A,41.75126837,-87.72190869
53A,41.7492833,-87.72186577
53A,41.74604944,-87.72175848
53A,41.7438841,-87.72166729
53A,41.7420753,-87.72157458
53A,41.74024168,-87.72154391
53A,41.73834033,-87.72145271
53A,41.73696886,-87.72137168
53A,41.73560724,-87.72127479
53A,41.7279552,-87.72156859
53A,41.72619041,-87.72152245
53A,41.72430066,-87.72142053
53A,41.7221426,-87.72132933
53A,41.72076924,-87.72120595
53A,41.71886572,-87.72117162
53A,41.71667704,-87.72111905
53A,41.71493037,-87.72105038
53A,41.71301706,-87.72096992
53A,41.80282651,-87.72328198
53A,41.73262796,-87.72140443
53A,41.77109163,-87.72242904
53A,41.80016721,-87.72437096
53A,41.68396609,-87.7196449
53A,41.68420246,-87.71716654
53A,41.83680068,-87.72464776
53A,41.83135608,-87.72427547
53A,41.82500439,-87.72420466
53A,41.79902347,-87.72346437
53A,41.74793855,-87.72190332
53A,41.7301579,-87.72190332
53A,41.83677351,-87.72566807
53A,41.7114553,-87.72120059
53A,41.7096372,-87.72115231
53A,41.70760279,-87.72108257
53A,41.70554028,-87.72100747
53A,41.70421464,-87.72093236
53A,41.70233225,-87.72084117
53A,41.70047785,-87.72078216
53A,41.69866344,-87.72072852
53A,41.69608394,-87.72064805
53A,41.69484221,-87.72059977
53A,41.69315183,-87.7205193
53A,41.69143736,-87.72043884
53A,41.83514121,-87.72434413
53A,41.8333426,-87.72432804
53A,41.8295054,-87.72423685
53A,41.81809717,-87.72405016
53A,41.81618934,-87.72399545
53A,41.81496193,-87.7239579
53A,41.81318274,-87.72390425
53A,41.81138352,-87.72382915
53A,41.80975218,-87.72378087
53A,41.80768495,-87.72371113
53A,41.80613349,-87.72364676
53A,41.80429408,-87.72358775
53A,41.7969823,-87.7233839
53A,41.79521221,-87.72336781
53A,41.7933125,-87.72329271
53A,41.79156471,-87.72326052
53A,41.78981927,-87.72321439
53A,41.787873,-87.72315323
53A,41.78605706,-87.72307813
53A,41.78422107,-87.72302449
53A,41.78243704,-87.72297084
53A,41.78059294,-87.72295475
53A,41.7787768,-87.72294402
53A,41.77696861,-87.72287428
53A,41.77512996,-87.72281098
53A,41.77329606,-87.722767
53A,41.76963131,-87.72263289
53A,41.76787487,-87.72257388
53A,41.76602636,-87.72252023
53A,41.76426982,-87.72247195
53A,41.75661893,-87.72233784
53A,41.75479811,-87.7222681
53A,41.75288519,-87.72213936
53A,41.75143646,-87.72199988
53A,41.74915523,-87.7219516
53A,41.74592937,-87.72183359
53A,41.74405621,-87.72180676
53A,41.74192682,-87.72173166
53A,41.74064195,-87.72171557
53A,41.73874462,-87.72166729
53A,41.73682242,-87.7216512
53A,41.73502826,-87.72158575
53A,41.72787993,-87.72174776
53A,41.72616639,-87.72168875
53A,41.72430066,-87.72160292
53A,41.72243888,-87.72154391
53A,41.72030959,-87.72148812
53A,41.71875921,-87.72143662
53A,41.7169253,-87.72139907
53A,41.71511937,-87.7213186
53A,41.71323731,-87.72123814
53A,41.8017868,-87.72353947
53A,41.73263596,-87.72168338
53A,41.77161494,-87.7226876
53A,41.80016721,-87.72436559
132,41.90715189,-87.65570641
132,41.87936307,-87.63955951
132,41.88219881,-87.63965607
132,41.90139306,-87.65226889
132,41.90377507,-87.65426445
132,41.91067304,-87.64915645
132,41.9151321,-87.65537381
132,41.91616598,-87.66767442
132,41.91694038,-87.6680553
132,41.87490791,-87.6235714
132,41.91713997,-87.65979409
132,41.89671982,-87.64768231
132,41.90631349,-87.64808893
132,41.89144804,-87.64759541
132,41.89916269,-87.64819086
132,41.87690267,-87.63256967
132,41.90715189,-87.65570641
132,41.87936307,-87.63955951
132,41.90377507,-87.65426445
132,41.90342851,-87.65412712
132,41.90133876,-87.6523751
132,41.88194719,-87.64122784
132,41.91067704,-87.64926374
132,41.91506823,-87.65541673
132,41.91694038,-87.6680553
132,41.87490791,-87.6235714
132,41.91706013,-87.66013741
132,41.89645708,-87.64795375
132,41.90650672,-87.64821339
132,41.89152072,-87.6477102
132,41.87802903,-87.63823986
132,41.87810093,-87.63288081
132,41.87627557,-87.62440503
132,41.89896305,-87.647928
130,41.87665263,-87.63075542
130,41.88167078,-87.64119833
130,41.87871603,-87.64112055
130,41.88327716,-87.64126539
130,41.87802903,-87.63823986
130,41.87810093,-87.63288081
130,41.87806897,-87.63546646
130,41.86735172,-87.62324631
130,41.86731177,-87.62716019
130,41.86478299,-87.61582732
130,41.86613333,-87.60976
130,41.86616125,-87.60786653
130,41.86608534,-87.61297882
130,41.86904151,-87.62758076
130,41.87021595,-87.62761295
130,41.87497741,-87.62764513
130,41.8718857,-87.62764513
130,41.87945334,-87.63065457
130,41.87938304,-87.63704896
130,41.87950286,-87.62816012
130,41.87940062,-87.63412213
130,41.88219881,-87.63965607
130,41.88435229,-87.63974619
130,41.88327716,-87.64126539
130,41.86756504,-87.62429237
130,41.86753548,-87.62732327
130,41.86504266,-87.61453986
130,41.86648084,-87.61054873
130,41.86616125,-87.60786653
130,41.86641692,-87.61359572
130,41.86915736,-87.62735009
130,41.87093431,-87.62740229
130,41.87294265,-87.62745309
130,41.87488954,-87.6275593
130,41.87687071,-87.62760758
136,41.96020414,-87.64671028
136,41.96644667,-87.64882386
136,41.97645737,-87.65256286
136,41.87807297,-87.63518751
136,41.88185933,-87.63236582
136,41.87866011,-87.63222098
136,41.88429558,-87.63232827
136,41.88622455,-87.63236582
136,41.97160377,-87.65037954
136,41.97329878,-87.6509428
136,41.95585595,-87.64552474
136,41.95856463,-87.64644206
136,41.95788647,-87.64629722
136,41.97009218,-87.64985919
136,41.95487856,-87.64523506
136,41.9690512,-87.64957488
136,41.96736804,-87.64909208
136,41.97242935,-87.65066385
136,41.96154843,-87.64679611
136,41.96569281,-87.64860928
136,41.97526494,-87.65168846
136,41.98752315,-87.65526116
136,41.98008636,-87.65504658
136,41.97818815,-87.65498757
136,41.99816442,-87.66042709
136,41.98358355,-87.65514851
136,41.98180507,-87.65511096
136,41.97662088,-87.65496075
136,41.99251907,-87.65540063
136,41.99479959,-87.65551329
136,41.98540186,-87.65520751
136,41.99826807,-87.65697777
136,41.99662954,-87.65556693
136,41.99027035,-87.65534163
136,41.99825611,-87.65835106
136,41.88782998,-87.62095571
136,41.88817742,-87.62533307
136,41.88677966,-87.62783825
136,41.88798972,-87.62191594
136,41.96022807,-87.64680147
136,41.96648257,-87.64892578
136,41.87938304,-87.63704896
136,41.87940062,-87.63412213
136,41.97640154,-87.65227318
136,41.97635368,-87.65474617
136,41.87956677,-87.63233364
136,41.88177146,-87.63244092
136,41.88403598,-87.63254285
136,41.8863803,-87.63260186
136,41.97175533,-87.65051901
136,41.97353808,-87.6511091
136,41.95562457,-87.6455462
136,41.95863643,-87.64654934
136,41.95764712,-87.64630258
136,41.97019588,-87.64998257
136,41.96931444,-87.64974117
136,41.96720849,-87.64912963
136,41.97260882,-87.65080869
136,41.96203907,-87.64691949
136,41.96556517,-87.64866829
136,41.97481429,-87.65158653
136,41.98745536,-87.65535772
136,41.97980323,-87.65512168
136,41.97799274,-87.6550734
136,41.99816442,-87.66042709
136,41.98348785,-87.65523434
136,41.98169342,-87.65519142
136,41.99218416,-87.65548646
136,41.99442483,-87.65557766
136,41.98533407,-87.65529335
136,41.99820428,-87.65688658
136,41.99623086,-87.6556313
136,41.98994739,-87.65542746
136,41.99819232,-87.65850127
136,41.88697136,-87.62819231
136,41.88802966,-87.6208216
136,41.88835313,-87.62505412
136,41.88826128,-87.62243629
136,41.88735075,-87.62634695
135,41.95737984,-87.64976263
135,41.95574824,-87.64970899
135,41.95837315,-87.64977872
135,41.9603637,-87.64982164
135,41.96192738,-87.64987528
135,41.9636745,-87.64992893
135,41.87807297,-87.63518751
135,41.95458734,-87.64959097
135,41.95464718,-87.64566958
135,41.95460329,-87.64815867
135,41.88185933,-87.63236582
135,41.87866011,-87.63222098
135,41.88429558,-87.63232827
135,41.88622455,-87.63236582
135,41.9488304,-87.64352918
135,41.9423587,-87.63992965
135,41.94780502,-87.64292836
135,41.94680756,-87.642349
135,41.9522934,-87.64497757
135,41.94509,-87.64126333
135,41.94352382,-87.64056265
135,41.94617317,-87.64197886
135,41.95304343,-87.64496148
135,41.95044223,-87.64449477
135,41.94037158,-87.63950586
135,41.88782998,-87.62095571
135,41.88817742,-87.62533307
135,41.88677966,-87.62783825
135,41.88798972,-87.62191594
135,41.87938304,-87.63704896
135,41.87940062,-87.63412213
135,41.9571006,-87.64983237
135,41.95859654,-87.64986455
135,41.95588786,-87.64979482
135,41.96104582,-87.64992356
135,41.9619194,-87.64996648
135,41.96356282,-87.65000939
135,41.95452749,-87.64955342
135,41.95458734,-87.64546037
135,41.95454744,-87.64769733
135,41.87956677,-87.63233364
135,41.88177146,-87.63244092
135,41.88403598,-87.63254285
135,41.8863803,-87.63260186
135,41.94858702,-87.64347017
135,41.9475776,-87.64289618
135,41.94662004,-87.64233291
135,41.95208195,-87.6450634
135,41.94467694,-87.64128685
135,41.9435717,-87.64068604
135,41.94594575,-87.6419574
135,41.95313917,-87.64505804
135,41.95025073,-87.64447868
135,41.9403636,-87.63959169
135,41.88697136,-87.62819231
135,41.88802966,-87.6208216
135,41.88835313,-87.62505412
135,41.88826128,-87.62243629
135,41.88735075,-87.62634695
134,41.87807297,-87.63518751
134,41.88185933,-87.63236582
134,41.87866011,-87.63222098
134,41.88429558,-87.63232827
134,41.88622455,-87.63236582
134,41.93790554,-87.63943076
134,41.93999649,-87.63948441
134,41.93872357,-87.63946295
134,41.93302107,-87.63928592
134,41.93579058,-87.63934493
134,41.93449763,-87.63929129
134,41.93676427,-87.63938248
134,41.92659567,-87.63772488
134,41.92831582,-87.63880849
134,41.93126113,-87.63893187
134,41.88782998,-87.62095571
134,41.88817742,-87.62533307
134,41.88677966,-87.62783825
134,41.88798972,-87.62191594
134,41.87938304,-87.63704896
134,41.87940062,-87.63412213
134,41.87956677,-87.63233364
134,41.88177146,-87.63244092
134,41.88403598,-87.63254285
134,41.8863803,-87.63260186
134,41.93753842,-87.63951123
134,41.93858391,-87.63954878
134,41.93299314,-87.63937175
134,41.93539551,-87.63941467
134,41.93418236,-87.63937175
134,41.93641709,-87.63945758
134,41.92653979,-87.63778389
134,41.92831582,-87.63890505
134,41.93132499,-87.63903916
134,41.88697136,-87.62819231
