Spiciness,Weather,Preference
1,0,-4
2,0,-2
3,0,-2
4,0,5
5,0,4
6,0,1
7,0,7
8,0,3
9,0,11
10,0,9
11,0,12
12,0,11
13,0,17
14,0,18
15,0,20
16,0,21
17,0,17
18,0,16
19,0,21
20,0,18
21,0,20
22,0,26
23,0,27
24,0,23
25,0,30
26,0,23
27,0,27
28,0,29
29,0,27
30,0,26
31,0,28
32,0,29
33,0,33
34,0,37
35,0,40
36,0,35
37,0,35
38,0,37
39,0,44
40,0,45
41,0,42
42,0,47
43,0,42
44,0,49
45,0,42
46,0,50
47,0,49
48,0,49
49,0,52
50,0,48
1,1,49
2,1,49
3,1,49
4,1,52
5,1,48
6,1,47
7,1,43
8,1,48
9,1,42
10,1,42
11,1,37
12,1,40
13,1,36
14,1,33
15,1,41
16,1,39
17,1,29
18,1,33
19,1,27
20,1,30
21,1,32
22,1,26
23,1,28
24,1,24
25,1,23
26,1,25
27,1,20
28,1,19
29,1,26
30,1,22
31,1,21
32,1,15
33,1,18
34,1,18
35,1,19
36,1,12
37,1,12
38,1,10
39,1,15
40,1,16
41,1,12
42,1,5
43,1,6
44,1,11
45,1,4
46,1,1
47,1,8
48,1,3
49,1,7
50,1,-3
