Year,Month,TempDiff
1850,1,-0.371
1850,2,-0.346
1850,3,-0.607
1850,4,-0.419
1850,5,-0.246
1850,6,-0.24
1850,7,-0.207
1850,8,-0.344
1850,9,-0.404
1850,10,-0.374
1850,11,-0.188
1850,12,-0.265
1851,1,-0.353
1851,2,-0.334
1851,3,-0.313
1851,4,-0.397
1851,5,-0.285
1851,6,-0.22
1851,7,-0.228
1851,8,-0.23
1851,9,-0.122
1851,10,-0.086
1851,11,0.063
1851,12,-0.013
1852,1,-0.333
1852,2,-0.463
1852,3,-0.358
1852,4,-0.342
1852,5,-0.23
1852,6,-0.027
1852,7,-0.059
1852,8,-0.239
1852,9,-0.106
1852,10,-0.142
1852,11,-0.107
1852,12,-0.047
1853,1,-0.268
1853,2,-0.2
1853,3,-0.139
1853,4,-0.229
1853,5,-0.248
1853,6,-0.187
1853,7,-0.122
1853,8,-0.206
1853,9,-0.383
1853,10,-0.405
1853,11,-0.175
1853,12,-0.276
1854,1,-0.265
1854,2,-0.289
1854,3,-0.272
1854,4,-0.248
1854,5,-0.263
1854,6,-0.198
1854,7,-0.312
1854,8,-0.232
1854,9,-0.125
1854,10,-0.295
1854,11,-0.34
1854,12,-0.336
1855,1,-0.135
1855,2,-0.212
1855,3,-0.213
1855,4,-0.282
1855,5,-0.408
1855,6,-0.188
1855,7,-0.32
1855,8,-0.195
1855,9,-0.308
1855,10,-0.242
1855,11,-0.111
1855,12,-0.185
1856,1,-0.149
1856,2,-0.301
1856,3,-0.307
1856,4,-0.369
1856,5,-0.049
1856,6,-0.393
1856,7,-0.325
1856,8,-0.298
1856,9,-0.418
1856,10,-0.343
1856,11,-0.483
1856,12,-0.478
1857,1,-0.435
1857,2,-0.39
1857,3,-0.378
1857,4,-0.463
1857,5,-0.488
1857,6,-0.303
1857,7,-0.613
1857,8,-0.402
1857,9,-0.34
1857,10,-0.474
1857,11,-0.579
1857,12,-0.569
1858,1,-0.639
1858,2,-0.522
1858,3,-0.468
1858,4,-0.526
1858,5,-0.713
1858,6,-0.744
1858,7,-0.43
1858,8,-0.306
1858,9,-0.372
1858,10,-0.263
1858,11,-0.372
1858,12,-0.31
1859,1,-0.419
1859,2,-0.37
1859,3,-0.409
1859,4,-0.209
1859,5,-0.393
1859,6,-0.33
1859,7,-0.41
1859,8,-0.228
1859,9,-0.614
1859,10,-0.247
1859,11,-0.341
1859,12,-0.201
1860,1,-0.221
1860,2,-0.268
1860,3,-0.324
1860,4,-0.314
1860,5,-0.349
1860,6,-0.449
1860,7,-0.124
1860,8,-0.231
1860,9,-0.249
1860,10,-0.156
1860,11,-0.238
1860,12,-0.363
1861,1,-0.404
1861,2,-0.739
1861,3,-0.68
1861,4,-0.135
1861,5,-0.603
1861,6,-0.354
1861,7,-0.481
1861,8,-0.201
1861,9,-0.353
1861,10,-0.408
1861,11,-0.412
1861,12,-0.275
1862,1,-0.456
1862,2,-0.381
1862,3,-0.309
1862,4,-0.242
1862,5,-0.189
1862,6,-0.31
1862,7,-0.374
1862,8,-0.738
1862,9,-0.479
1862,10,-0.409
1862,11,-0.532
1862,12,-0.57
1863,1,-0.378
1863,2,-0.299
1863,3,-0.404
1863,4,-0.217
1863,5,-0.43
1863,6,-0.424
1863,7,-0.383
1863,8,-0.412
1863,9,-0.461
1863,10,-0.335
1863,11,-0.395
1863,12,-0.35
1864,1,-0.697
1864,2,-0.655
1864,3,-0.556
1864,4,-0.464
1864,5,-0.261
1864,6,-0.344
1864,7,-0.26
1864,8,-0.423
1864,9,-0.473
1864,10,-0.406
1864,11,-0.097
1864,12,-0.225
1865,1,-0.223
1865,2,-0.141
1865,3,-0.164
1865,4,-0.187
1865,5,-0.336
1865,6,-0.304
1865,7,-0.285
1865,8,-0.201
1865,9,-0.304
1865,10,-0.212
1865,11,-0.373
1865,12,-0.26
1866,1,-0.309
1866,2,-0.09
1866,3,-0.478
1866,4,-0.299
1866,5,-0.336
1866,6,0.037
1866,7,-0.028
1866,8,-0.19
1866,9,-0.352
1866,10,-0.159
1866,11,-0.156
1866,12,-0.386
1867,1,-0.137
1867,2,-0.306
1867,3,-0.132
1867,4,-0.142
1867,5,-0.228
1867,6,-0.333
1867,7,-0.198
1867,8,-0.284
1867,9,-0.128
1867,10,-0.247
1867,11,-0.172
1867,12,-0.458
1868,1,-0.409
1868,2,-0.271
1868,3,-0.04
1868,4,-0.256
1868,5,-0.243
1868,6,-0.444
1868,7,-0.102
1868,8,-0.196
1868,9,-0.158
1868,10,-0.267
1868,11,-0.215
1868,12,-0.21
1869,1,-0.32
1869,2,-0.118
1869,3,-0.384
1869,4,-0.159
1869,5,-0.229
1869,6,-0.384
1869,7,-0.325
1869,8,-0.231
1869,9,-0.259
1869,10,-0.263
1869,11,-0.276
1869,12,-0.326
1870,1,-0.189
1870,2,-0.248
1870,3,-0.229
1870,4,-0.159
1870,5,-0.322
1870,6,-0.337
1870,7,-0.079
1870,8,-0.172
1870,9,-0.298
1870,10,-0.343
