1,"New York, N.Y.","Los Angeles,Calif.","Chicago, Ill.","Houston, Tex.","Philadelphia,Pa.","Phoenix, Ariz.","San Antonio,Tex.","San Diego,Calif.","Dallas, Tex.","San Jose, Calif.","Austin, Tex."," Jacksonville,Fla."," San Francisco, Calif.","Indianapolis,Ind.","Columbus, Ohio"
"New York, N.Y.",0.0,2464.0,719.5,1421.0,77.6,2145.0,1585.0,2432.0,1373.0,2557.0,1514.0,833.7,2577.0,648.0,479.8
"Los Angeles,Calif.",2464.0,0.0,1752.0,1381.0,2405.0,365.1,1210.0,111.0,1252.0,296.3,1235.0,2157.0,342.8,1820.0,1988.0
"Chicago, Ill.",719.5,1752.0,0.0,936.1,668.1,1447.0,1046.0,1727.0,798.5,1837.0,973.1,861.0,1858.0,163.3,277.1
"Houston, Tex.",1421.0,1381.0,936.1,0.0,1344.0,1017.0,190.1,1301.0,223.1,1605.0,146.6,822.8,1644.0,865.6,993.6
"Philadelphia,Pa.",77.6,2405.0,668.1,1344.0,0.0,2081.0,1510.0,2370.0,1300.0,2503.0,1439.0,761.8,2525.0,585.1,416.5
"Phoenix, Ariz.",2145.0,365.1,1447.0,1017.0,2081.0,0.0,848.0,297.0,888.7,605.7,870.8,1795.0,649.4,1497.0,1666.0
"San Antonio,Tex.",1585.0,1210.0,1046.0,190.1,1510.0,848.0,0.0,1125.0,251.5,1446.0,73.74,1013.0,1487.0,999.2,1140.0
"San Diego,Calif.",2432.0,111.0,1727.0,1301.0,2370.0,297.0,1125.0,0.0,1184.0,407.2,1155.0,2090.0,453.7,1785.0,1954.0
"Dallas, Tex.",1373.0,1252.0,798.5,223.1,1300.0,888.7,251.5,1184.0,0.0,1449.0,181.0,906.1,1486.0,762.8,912.7
"San Jose, Calif.",2557.0,296.3,1837.0,1605.0,2503.0,605.7,1446.0,407.2,1449.0,0.0,1461.0,2341.0,46.61,1927.0,2092.0
"Austin, Tex.",1514.0,1235.0,973.1,146.6,1439.0,870.8,73.74,1155.0,181.0,1461.0,0.0,961.0,1501.0,925.5,1067.0
" Jacksonville,Fla.",833.7,2157.0,861.0,822.8,761.8,1795.0,1013.0,2090.0,906.1,2341.0,961.0,0.0,2375.0,698.4,669.3
" San Francisco, Calif.",2577.0,342.8,1858.0,1644.0,2525.0,649.4,1487.0,453.7,1486.0,46.61,1501.0,2375.0,0.0,1951.0,2116.0
"Indianapolis,Ind.",648.0,1820.0,163.3,865.6,585.1,1497.0,999.2,1785.0,762.8,1927.0,925.5,698.4,1951.0,0.0,168.6
"Columbus, Ohio",479.8,1988.0,277.1,993.6,416.5,1666.0,1140.0,1954.0,912.7,2092.0,1067.0,669.3,2116.0,168.6,0.0
